ark,title_clean,date_clean,author_name_clean,author_type_clean,author_birth_clean,author_death_clean,publisher_name_clean,publisher_place_clean,type_clean,format,description,type,source,language,title,author,date,publisher,ocr_quality,topics,metatopics,occurences,occurences_ratio,publisher_place_country
bpt6k6148781w,"Botanique.... SUPPL., T. 3",1783.0,"Lamarck, Jean-Baptiste de Monet de",person,1744.0,1829.0,"Panckoucke (H. Agasse, Vve Agasse)",Paris,monographie,"13 vol. in-4° , dont 5 de supplément",[Encyclopédie botanique (français)]	Collection : Encyclopédie méthodique	Collection : Encyclopédie méthodique	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z-8488",fre,"Botanique.... SUPPL., T. 3 / par M. le chevalier de Lamarck,... [continuée par J.-L.-M.odique Poiret.]","Lamarck, Jean-Baptiste de Monet de (1744-1829). Auteur du texte",1783-1817,"Panckoucke (H. Agasse, Vve Agasse) (Paris)",86.0,[106],['Erreurs'],1,0.0001797258461942,Paris / Île de France
bpt6k61498285,"Botanique.... SUPPL., T. 4",1783.0,"Lamarck, Jean-Baptiste de Monet de",person,1744.0,1829.0,"Panckoucke (H. Agasse, Vve Agasse)",Paris,monographie,"13 vol. in-4° , dont 5 de supplément",[Encyclopédie botanique (français)]	Collection : Encyclopédie méthodique	Collection : Encyclopédie méthodique	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z-8489",fre,"Botanique.... SUPPL., T. 4 / par M. le chevalier de Lamarck,... [continuée par J.-L.-M.odique Poiret.]","Lamarck, Jean-Baptiste de Monet de (1744-1829). Auteur du texte",1783-1817,"Panckoucke (H. Agasse, Vve Agasse) (Paris)",86.0,"[131, 37]","['Erreurs', 'Eucalyptus / Propriétés Botaniques']",3,0.0005726371084116,Paris / Île de France
bpt6k6156104p,"Botanique.... SUPPL., T. 5",1783.0,"Lamarck, Jean-Baptiste de Monet de",person,1744.0,1829.0,"Panckoucke (H. Agasse, Vve Agasse)",Paris,monographie,"13 vol. in-4° , dont 5 de supplément",[Encyclopédie botanique (français)]	Collection : Encyclopédie méthodique	Collection : Encyclopédie méthodique	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z-8490",fre,"Botanique.... SUPPL., T. 5 / par M. le chevalier de Lamarck,... [continuée par J.-L.-M.odique Poiret.]","Lamarck, Jean-Baptiste de Monet de (1744-1829). Auteur du texte",1783-1817,"Panckoucke (H. Agasse, Vve Agasse) (Paris)",84.0,"[59, 94, 24, 131, 68]","['Médecine/Médicaments', 'Erreurs', 'Eucalyptus / Propriétés Botaniques', 'Erreurs', 'Faune et Flore']",7,0.0012434673554291,Paris / Île de France
bpt6k6151194j,"Botanique.... SUPPL., T. 1",1783.0,"Lamarck, Jean-Baptiste de Monet de",person,1744.0,1829.0,"Panckoucke (H. Agasse, Vve Agasse)",Paris,monographie,"13 vol. in-4° , dont 5 de supplément",[Encyclopédie botanique (français)]	Collection : Encyclopédie méthodique	Collection : Encyclopédie méthodique	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z-8486",fre,"Botanique.... SUPPL., T. 1 / par M. le chevalier de Lamarck,... [continuée par J.-L.-M.odique Poiret.]","Lamarck, Jean-Baptiste de Monet de (1744-1829). Auteur du texte",1783-1817,"Panckoucke (H. Agasse, Vve Agasse) (Paris)",85.0,"[53, 37]","['Géographie', 'Eucalyptus / Propriétés Botaniques']",2,0.0003563277573978,Paris / Île de France
bpt6k61522197,"Botanique.... SUPPL., T. 2",1783.0,"Lamarck, Jean-Baptiste de Monet de",person,1744.0,1829.0,"Panckoucke (H. Agasse, Vve Agasse)",Paris,monographie,"13 vol. in-4° , dont 5 de supplément",[Encyclopédie botanique (français)]	Collection : Encyclopédie méthodique	Collection : Encyclopédie méthodique	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z-8487",fre,"Botanique.... SUPPL., T. 2 / par M. le chevalier de Lamarck,... [continuée par J.-L.-M.odique Poiret.]","Lamarck, Jean-Baptiste de Monet de (1744-1829). Auteur du texte",1783-1817,"Panckoucke (H. Agasse, Vve Agasse) (Paris)",85.0,"[68, 67, 134, 94, 131, 20, 94, 69, 20, 68, 90, 8, 20, 68, 69, 8, 109, 121, 121, 131, 69, 106, 31, 131, 8, 122, 131, 94, 45, 8, 20, 131, 92, 8, 131, 92, 8, 131, 8, 8, 8, 24, 94, 8, 8, 131, 8, 8, 131, 96, 8, 68, 8, 8, 131, 131, 131, 68, 131, 131, 20, 68, 82, 20, 68, 131, 20, 24]","['Faune et Flore', 'Médecine/Médicaments', 'Eucalyptus / Propriétés Botaniques', 'Erreurs', 'Erreurs', 'Faune et Flore', 'Erreurs', 'Autres', 'Faune et Flore', 'Faune et Flore', 'Autres', 'Faune et Flore', 'Faune et Flore', 'Faune et Flore', 'Autres', 'Faune et Flore', 'Médecine/Médicaments', 'Faune et Flore', 'Faune et Flore', 'Erreurs', 'Autres', 'Erreurs', 'Médecine/Médicaments', 'Erreurs', 'Faune et Flore', 'Autres', 'Erreurs', 'Erreurs', 'Eucalyptus / Propriétés Botaniques', 'Faune et Flore', 'Faune et Flore', 'Erreurs', 'Eucalyptus / Propriétés Botaniques', 'Faune et Flore', 'Erreurs', 'Eucalyptus / Propriétés Botaniques', 'Faune et Flore', 'Erreurs', 'Faune et Flore', 'Faune et Flore', 'Faune et Flore', 'Eucalyptus / Propriétés Botaniques', 'Erreurs', 'Faune et Flore', 'Faune et Flore', 'Erreurs', 'Faune et Flore', 'Faune et Flore', 'Erreurs', 'Géographie', 'Faune et Flore', 'Faune et Flore', 'Faune et Flore', 'Faune et Flore', 'Erreurs', 'Erreurs', 'Erreurs', 'Faune et Flore', 'Erreurs', 'Erreurs', 'Faune et Flore', 'Faune et Flore', 'Maladies', 'Faune et Flore', 'Faune et Flore', 'Erreurs', 'Faune et Flore', 'Eucalyptus / Propriétés Botaniques']",75,0.01221617747662,Paris / Île de France
bpt6k6158603m,Botanique.... Tome 4,1783.0,"Lamarck, Jean-Baptiste de Monet de",person,1744.0,1829.0,"Panckoucke (H. Agasse, Vve Agasse)",Paris,monographie,"13 vol. in-4° , dont 5 de supplément",[Encyclopédie botanique (français)]	Collection : Encyclopédie méthodique	Collection : Encyclopédie méthodique	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z-8481",fre,"Botanique.... Tome 4 / par M. le chevalier de Lamarck,... [continuée par J.-L.-M.odique Poiret.]","Lamarck, Jean-Baptiste de Monet de (1744-1829). Auteur du texte",1783-1817,"Panckoucke (H. Agasse, Vve Agasse) (Paris)",91.0,[24],['Eucalyptus / Propriétés Botaniques'],1,0.0001562072870699,Paris / Île de France
bpt6k3046057b,"Mémoires d'agriculture, d'économie rurale et domestique",1785.0,Société d'agriculture de Paris,entity,,,,Paris,presse généraliste,Nombre total de vues : 47725,1785	1785-1872.		Appartient à l’ensemble documentaire : IledeFr1,printed serial,"Académie d'Agriculture de France, 2010-53013",fre,"Mémoires d'agriculture, d'économie rurale et domestique / publiés par la Société royale d'agriculture de Paris",Société d'agriculture de Paris. Auteur du texte,1785,(Paris),86.0,"[5, 5, 131, 5, 5]","['Erreurs', 'Erreurs', 'Erreurs', 'Erreurs', 'Erreurs']",6,0.0086379407149335,Paris / Île de France
bpt6k5831075s,Médecine. Tome 13,1787.0,"Moreau, Jacques-Louis",person,1771.0,1826.0,Panckoucke,Paris,monographie,13 vol. ; in-4,Collection : Encyclopédie méthodique	Contient une table des matières	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z-8584",fre,"Médecine. Tome 13 / . Contenant, 1° l'hygiène, 2° la pathologie, 3° la séméiotique et la nosologie, 4° la thérapeutique ou matière médicale, 5° la médecine militaire, 6° la médecine vétérinaire, 7° la médecine légale, 8° la jurisprudence de la médecine et de la pharmacie, 9° la biographie médicale...","Moreau, Jacques-Louis (1771-1826). Auteur du texte",1787-1830,Panckoucke (Paris),84.0,"[131, 94]","['Erreurs', 'Erreurs']",2,0.0002726489481203,Paris / Île de France
bpt6k5835527p,Médecine. Tome 12,1787.0,"Moreau, Jacques-Louis",person,1771.0,1826.0,Panckoucke,Paris,monographie,13 vol. ; in-4,Collection : Encyclopédie méthodique	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z-8583",fre,"Médecine. Tome 12 / . Contenant, 1° l'hygiène, 2° la pathologie, 3° la séméiotique et la nosologie, 4° la thérapeutique ou matière médicale, 5° la médecine militaire, 6° la médecine vétérinaire, 7° la médecine légale, 8° la jurisprudence de la médecine et de la pharmacie, 9° la biographie médicale...","Moreau, Jacques-Louis (1771-1826). Auteur du texte",1787-1830,Panckoucke (Paris),90.0,"[53, 24, 53, 98]","['Géographie', 'Eucalyptus / Propriétés Botaniques', 'Géographie', 'Industrie / Production']",4,0.0006091265429936,Paris / Île de France
bpt6k61558998,Encyclopédie méthodique. Agriculture. T. 4,1787.0,"Tessier, Alexandre-Henri",person,1741.0,1837.0,"A Paris, chez Panckoucke, libraire, hôtel de Thou, rue des Poitevins ; a Liège, chez Plomteux, imprimeur des Etats. M. DCC. LXXXVII. Avec approbation, et privilège du Roi - A Paris, chez Panckoucke, hôtel de Thou, rue des Poitevins. M. DCC. XCI. - A Paris, chez Panckoucke, imprimeur-libraire, rue des Poitevins, n° 18. M. DCC. XCIII. - A Paris, chez H. Agasse, imprimeur-libraire, rue des Poitevins, n° 18. An IVe. M. DCC. XCVI. - A Paris, chez H. Agasse, imprimeur-libraire, rue des Poitevins, n° 6. M. DCCCXIII. - A Paris, chez Mme Veuve Agasse, imprimeur-libraire, rue des Poitevins, n° 6. M. DCCCXVI [-M. DCCCXXI.]",,monographie,"7 t. ( [4]-772 p. ; [4]-848 p. ; [4]-744-[1] p. ; [4]-718 p., [2] f. de pl. dépl. (tableaux) ; [4]-736 p. ; [4]-643 p. ; VII-[1 bl.]-825-[1] p.) ; in-4",Comprend : Troisième discours ; Dictionnaire de la culture des arbres et de l'aménagement des forêts,printed monograph,"Bibliothèque nationale de France, département Littérature et art, Z-8448",fre,"Encyclopédie méthodique. Agriculture. T. 4 [Dactyle-Hyssope] / , par M. l'abbé Tessier, docteur-régent de la Faculté de médecine, de l'Académie royale des sciences, de la Société royale de médecine, M. Thouin & M. Fougeroux de Bondaroy, de l'Académie royale des sciences. Tome premier [-septième]","Tessier, Alexandre-Henri (1741-1837). Auteur du texte",1787-1821,"A Paris, chez Panckoucke, libraire, hôtel de Thou, rue des Poitevins ; a Liège, chez Plomteux, imprimeur des Etats. M. DCC. LXXXVII. Avec approbation, et privilège du Roi - A Paris, chez Panckoucke, hôtel de Thou, rue des Poitevins. M. DCC. XCI. - A Paris, chez Panckoucke, imprimeur-libraire, rue des Poitevins, n° 18. M. DCC. XCIII. - A Paris, chez H. Agasse, imprimeur-libraire, rue des Poitevins, n° 18. An IVe. M. DCC. XCVI. - A Paris, chez H. Agasse, imprimeur-libraire, rue des Poitevins, n° 6. M. DCCCXIII. - A Paris, chez Mme Veuve Agasse, imprimeur-libraire, rue des Poitevins, n° 6. M. DCCCXVI [-M. DCCCXXI.]",91.0,"[94, 94, 8, 94]","['Erreurs', 'Erreurs', 'Faune et Flore', 'Erreurs']",5,0.0008473412972117,Autres
