year,docs
1780,6953
1781,4862
1782,4713
1783,4963
1784,4958
1785,5096
1786,4911
1787,4974
1788,5220
1789,12066
1790,17574
1791,16690
1792,14606
1793,14650
1794,10417
1795,7506
1796,8716
1797,9778
1798,8700
1799,7625
1800,31237
1801,11956
1802,7476
1803,6483
1804,6364
1805,5712
1806,6092
1807,5813
1808,6018
1809,6102
1810,6604
1811,6033
1812,5763
1813,5836
1814,7696
1815,8719
1816,9257
1817,8862
1818,9867
1819,10227
1820,12855
1821,12446
1822,13215
1823,12843
1824,13056
1825,14126
1826,15253
1827,14802
1828,15734
1829,17123
1830,21116
1831,17106
1832,19354
1833,20029
1834,19982
1835,20970
1836,21200
1837,22116
1838,22308
1839,22387
1840,24635
1841,23821
1842,25177
1843,24410
1844,25840
1845,27035
1846,26480
1847,25907
1848,34233
1849,36577
1850,45250
1851,40413
1852,30531
1853,29246
1854,29230
1855,28826
1856,27963
1857,29288
1858,28477
1859,31930
1860,36267
1861,33689
1862,36556
1863,35170
1864,34919
1865,37798
1866,38998
1867,39589
1868,43133
1869,51603
1870,53455
1871,48810
1872,55046
1873,57373
1874,57620
1875,70445
1876,63352
1877,64475
1878,66072
1879,67733
1880,87586
1881,79402
1882,89492
1883,93317
1884,95102
1885,98868
1886,98062
1887,99086
1888,102734
1889,108892
1890,126770
1891,106762
1892,108485
1893,114762
1894,115956
1895,116527
1896,116126
1897,115004
1898,116302
1899,118694
1900,156420
1901,119581
1902,120683
1903,120924
1904,120586
1905,120547
1906,119162
1907,118545
1908,119289
1909,121661
1910,133425
1911,127015
1912,130381
1913,128834
1914,113860
1915,89074
1916,94349
1917,92872
1918,93262
1919,95749
